date,date_key,year,month,day,weekday
1996-09-21,19960921,1996,9,21,Saturday
1996-09-22,19960922,1996,9,22,Sunday
1996-09-23,19960923,1996,9,23,Monday
1996-09-24,19960924,1996,9,24,Tuesday
1996-09-25,19960925,1996,9,25,Wednesday
1996-09-26,19960926,1996,9,26,Thursday
1996-09-27,19960927,1996,9,27,Friday
1996-09-28,19960928,1996,9,28,Saturday
1996-09-29,19960929,1996,9,29,Sunday
1996-09-30,19960930,1996,9,30,Monday
1996-10-01,19961001,1996,10,1,Tuesday
1996-10-02,19961002,1996,10,2,Wednesday
1996-10-03,19961003,1996,10,3,Thursday
1996-10-04,19961004,1996,10,4,Friday
1996-10-05,19961005,1996,10,5,Saturday
1996-10-06,19961006,1996,10,6,Sunday
1996-10-07,19961007,1996,10,7,Monday
1996-10-08,19961008,1996,10,8,Tuesday
1996-10-09,19961009,1996,10,9,Wednesday
1996-10-10,19961010,1996,10,10,Thursday
1996-10-11,19961011,1996,10,11,Friday
1996-10-12,19961012,1996,10,12,Saturday
1996-10-13,19961013,1996,10,13,Sunday
1996-10-14,19961014,1996,10,14,Monday
1996-10-15,19961015,1996,10,15,Tuesday
1996-10-16,19961016,1996,10,16,Wednesday
1996-10-17,19961017,1996,10,17,Thursday
1996-10-18,19961018,1996,10,18,Friday
1996-10-19,19961019,1996,10,19,Saturday
1996-10-20,19961020,1996,10,20,Sunday
1996-10-21,19961021,1996,10,21,Monday
1996-10-22,19961022,1996,10,22,Tuesday
1996-10-23,19961023,1996,10,23,Wednesday
1996-10-24,19961024,1996,10,24,Thursday
1996-10-25,19961025,1996,10,25,Friday
1996-10-26,19961026,1996,10,26,Saturday
1996-10-27,19961027,1996,10,27,Sunday
1996-10-28,19961028,1996,10,28,Monday
1996-10-29,19961029,1996,10,29,Tuesday
1996-10-30,19961030,1996,10,30,Wednesday
1996-10-31,19961031,1996,10,31,Thursday
1996-11-01,19961101,1996,11,1,Friday
1996-11-02,19961102,1996,11,2,Saturday
1996-11-03,19961103,1996,11,3,Sunday
1996-11-04,19961104,1996,11,4,Monday
1996-11-05,19961105,1996,11,5,Tuesday
1996-11-06,19961106,1996,11,6,Wednesday
1996-11-07,19961107,1996,11,7,Thursday
1996-11-08,19961108,1996,11,8,Friday
1996-11-09,19961109,1996,11,9,Saturday
1996-11-10,19961110,1996,11,10,Sunday
1996-11-11,19961111,1996,11,11,Monday
1996-11-12,19961112,1996,11,12,Tuesday
1996-11-13,19961113,1996,11,13,Wednesday
1996-11-14,19961114,1996,11,14,Thursday
1996-11-15,19961115,1996,11,15,Friday
1996-11-16,19961116,1996,11,16,Saturday
1996-11-17,19961117,1996,11,17,Sunday
1996-11-18,19961118,1996,11,18,Monday
1996-11-19,19961119,1996,11,19,Tuesday
1996-11-20,19961120,1996,11,20,Wednesday
1996-11-21,19961121,1996,11,21,Thursday
1996-11-22,19961122,1996,11,22,Friday
1996-11-23,19961123,1996,11,23,Saturday
1996-11-24,19961124,1996,11,24,Sunday
1996-11-25,19961125,1996,11,25,Monday
1996-11-26,19961126,1996,11,26,Tuesday
1996-11-27,19961127,1996,11,27,Wednesday
1996-11-28,19961128,1996,11,28,Thursday
1996-11-29,19961129,1996,11,29,Friday
1996-11-30,19961130,1996,11,30,Saturday
1996-12-01,19961201,1996,12,1,Sunday
1996-12-02,19961202,1996,12,2,Monday
1996-12-03,19961203,1996,12,3,Tuesday
1996-12-04,19961204,1996,12,4,Wednesday
1996-12-05,19961205,1996,12,5,Thursday
1996-12-06,19961206,1996,12,6,Friday
1996-12-07,19961207,1996,12,7,Saturday
1996-12-08,19961208,1996,12,8,Sunday
1996-12-09,19961209,1996,12,9,Monday
1996-12-10,19961210,1996,12,10,Tuesday
1996-12-11,19961211,1996,12,11,Wednesday
1996-12-12,19961212,1996,12,12,Thursday
1996-12-13,19961213,1996,12,13,Friday
1996-12-14,19961214,1996,12,14,Saturday
1996-12-15,19961215,1996,12,15,Sunday
1996-12-16,19961216,1996,12,16,Monday
1996-12-17,19961217,1996,12,17,Tuesday
1996-12-18,19961218,1996,12,18,Wednesday
1996-12-19,19961219,1996,12,19,Thursday
1996-12-20,19961220,1996,12,20,Friday
1996-12-21,19961221,1996,12,21,Saturday
1996-12-22,19961222,1996,12,22,Sunday
1996-12-23,19961223,1996,12,23,Monday
1996-12-24,19961224,1996,12,24,Tuesday
1996-12-25,19961225,1996,12,25,Wednesday
1996-12-26,19961226,1996,12,26,Thursday
1996-12-27,19961227,1996,12,27,Friday
1996-12-28,19961228,1996,12,28,Saturday
1996-12-29,19961229,1996,12,29,Sunday
1996-12-30,19961230,1996,12,30,Monday
1996-12-31,19961231,1996,12,31,Tuesday
1997-01-01,19970101,1997,1,1,Wednesday
1997-01-02,19970102,1997,1,2,Thursday
1997-01-03,19970103,1997,1,3,Friday
1997-01-04,19970104,1997,1,4,Saturday
1997-01-05,19970105,1997,1,5,Sunday
1997-01-06,19970106,1997,1,6,Monday
1997-01-07,19970107,1997,1,7,Tuesday
1997-01-08,19970108,1997,1,8,Wednesday
1997-01-09,19970109,1997,1,9,Thursday
1997-01-10,19970110,1997,1,10,Friday
1997-01-11,19970111,1997,1,11,Saturday
1997-01-12,19970112,1997,1,12,Sunday
1997-01-13,19970113,1997,1,13,Monday
1997-01-14,19970114,1997,1,14,Tuesday
1997-01-15,19970115,1997,1,15,Wednesday
1997-01-16,19970116,1997,1,16,Thursday
1997-01-17,19970117,1997,1,17,Friday
1997-01-18,19970118,1997,1,18,Saturday
1997-01-19,19970119,1997,1,19,Sunday
1997-01-20,19970120,1997,1,20,Monday
1997-01-21,19970121,1997,1,21,Tuesday
1997-01-22,19970122,1997,1,22,Wednesday
1997-01-23,19970123,1997,1,23,Thursday
1997-01-24,19970124,1997,1,24,Friday
1997-01-25,19970125,1997,1,25,Saturday
1997-01-26,19970126,1997,1,26,Sunday
1997-01-27,19970127,1997,1,27,Monday
1997-01-28,19970128,1997,1,28,Tuesday
1997-01-29,19970129,1997,1,29,Wednesday
1997-01-30,19970130,1997,1,30,Thursday
1997-01-31,19970131,1997,1,31,Friday
1997-02-01,19970201,1997,2,1,Saturday
1997-02-02,19970202,1997,2,2,Sunday
1997-02-03,19970203,1997,2,3,Monday
1997-02-04,19970204,1997,2,4,Tuesday
1997-02-05,19970205,1997,2,5,Wednesday
1997-02-06,19970206,1997,2,6,Thursday
1997-02-07,19970207,1997,2,7,Friday
1997-02-08,19970208,1997,2,8,Saturday
1997-02-09,19970209,1997,2,9,Sunday
1997-02-10,19970210,1997,2,10,Monday
1997-02-11,19970211,1997,2,11,Tuesday
1997-02-12,19970212,1997,2,12,Wednesday
1997-02-13,19970213,1997,2,13,Thursday
1997-02-14,19970214,1997,2,14,Friday
1997-02-15,19970215,1997,2,15,Saturday
1997-02-16,19970216,1997,2,16,Sunday
1997-02-17,19970217,1997,2,17,Monday
1997-02-18,19970218,1997,2,18,Tuesday
1997-02-19,19970219,1997,2,19,Wednesday
1997-02-20,19970220,1997,2,20,Thursday
1997-02-21,19970221,1997,2,21,Friday
1997-02-22,19970222,1997,2,22,Saturday
1997-02-23,19970223,1997,2,23,Sunday
1997-02-24,19970224,1997,2,24,Monday
1997-02-25,19970225,1997,2,25,Tuesday
1997-02-26,19970226,1997,2,26,Wednesday
1997-02-27,19970227,1997,2,27,Thursday
1997-02-28,19970228,1997,2,28,Friday
1997-03-01,19970301,1997,3,1,Saturday
1997-03-02,19970302,1997,3,2,Sunday
1997-03-03,19970303,1997,3,3,Monday
1997-03-04,19970304,1997,3,4,Tuesday
1997-03-05,19970305,1997,3,5,Wednesday
1997-03-06,19970306,1997,3,6,Thursday
1997-03-07,19970307,1997,3,7,Friday
1997-03-08,19970308,1997,3,8,Saturday
1997-03-09,19970309,1997,3,9,Sunday
1997-03-10,19970310,1997,3,10,Monday
1997-03-11,19970311,1997,3,11,Tuesday
1997-03-12,19970312,1997,3,12,Wednesday
1997-03-13,19970313,1997,3,13,Thursday
1997-03-14,19970314,1997,3,14,Friday
1997-03-15,19970315,1997,3,15,Saturday
1997-03-16,19970316,1997,3,16,Sunday
1997-03-17,19970317,1997,3,17,Monday
1997-03-18,19970318,1997,3,18,Tuesday
1997-03-19,19970319,1997,3,19,Wednesday
1997-03-20,19970320,1997,3,20,Thursday
1997-03-21,19970321,1997,3,21,Friday
1997-03-22,19970322,1997,3,22,Saturday
1997-03-23,19970323,1997,3,23,Sunday
1997-03-24,19970324,1997,3,24,Monday
1997-03-25,19970325,1997,3,25,Tuesday
1997-03-26,19970326,1997,3,26,Wednesday
1997-03-27,19970327,1997,3,27,Thursday
1997-03-28,19970328,1997,3,28,Friday
1997-03-29,19970329,1997,3,29,Saturday
1997-03-30,19970330,1997,3,30,Sunday
1997-03-31,19970331,1997,3,31,Monday
1997-04-01,19970401,1997,4,1,Tuesday
1997-04-02,19970402,1997,4,2,Wednesday
1997-04-03,19970403,1997,4,3,Thursday
1997-04-04,19970404,1997,4,4,Friday
1997-04-05,19970405,1997,4,5,Saturday
1997-04-06,19970406,1997,4,6,Sunday
1997-04-07,19970407,1997,4,7,Monday
1997-04-08,19970408,1997,4,8,Tuesday
1997-04-09,19970409,1997,4,9,Wednesday
1997-04-10,19970410,1997,4,10,Thursday
1997-04-11,19970411,1997,4,11,Friday
1997-04-12,19970412,1997,4,12,Saturday
1997-04-13,19970413,1997,4,13,Sunday
1997-04-14,19970414,1997,4,14,Monday
1997-04-15,19970415,1997,4,15,Tuesday
1997-04-16,19970416,1997,4,16,Wednesday
1997-04-17,19970417,1997,4,17,Thursday
1997-04-18,19970418,1997,4,18,Friday
1997-04-19,19970419,1997,4,19,Saturday
1997-04-20,19970420,1997,4,20,Sunday
1997-04-21,19970421,1997,4,21,Monday
1997-04-22,19970422,1997,4,22,Tuesday
1997-04-23,19970423,1997,4,23,Wednesday
1997-04-24,19970424,1997,4,24,Thursday
1997-04-25,19970425,1997,4,25,Friday
1997-04-26,19970426,1997,4,26,Saturday
1997-04-27,19970427,1997,4,27,Sunday
1997-04-28,19970428,1997,4,28,Monday
1997-04-29,19970429,1997,4,29,Tuesday
1997-04-30,19970430,1997,4,30,Wednesday
1997-05-01,19970501,1997,5,1,Thursday
1997-05-02,19970502,1997,5,2,Friday
1997-05-03,19970503,1997,5,3,Saturday
1997-05-04,19970504,1997,5,4,Sunday
1997-05-05,19970505,1997,5,5,Monday
1997-05-06,19970506,1997,5,6,Tuesday
1997-05-07,19970507,1997,5,7,Wednesday
1997-05-08,19970508,1997,5,8,Thursday
1997-05-09,19970509,1997,5,9,Friday
1997-05-10,19970510,1997,5,10,Saturday
1997-05-11,19970511,1997,5,11,Sunday
1997-05-12,19970512,1997,5,12,Monday
1997-05-13,19970513,1997,5,13,Tuesday
1997-05-14,19970514,1997,5,14,Wednesday
1997-05-15,19970515,1997,5,15,Thursday
1997-05-16,19970516,1997,5,16,Friday
1997-05-17,19970517,1997,5,17,Saturday
1997-05-18,19970518,1997,5,18,Sunday
1997-05-19,19970519,1997,5,19,Monday
1997-05-20,19970520,1997,5,20,Tuesday
1997-05-21,19970521,1997,5,21,Wednesday
1997-05-22,19970522,1997,5,22,Thursday
1997-05-23,19970523,1997,5,23,Friday
1997-05-24,19970524,1997,5,24,Saturday
1997-05-25,19970525,1997,5,25,Sunday
1997-05-26,19970526,1997,5,26,Monday
1997-05-27,19970527,1997,5,27,Tuesday
1997-05-28,19970528,1997,5,28,Wednesday
1997-05-29,19970529,1997,5,29,Thursday
1997-05-30,19970530,1997,5,30,Friday
1997-05-31,19970531,1997,5,31,Saturday
1997-06-01,19970601,1997,6,1,Sunday
1997-06-02,19970602,1997,6,2,Monday
1997-06-03,19970603,1997,6,3,Tuesday
1997-06-04,19970604,1997,6,4,Wednesday
1997-06-05,19970605,1997,6,5,Thursday
1997-06-06,19970606,1997,6,6,Friday
1997-06-07,19970607,1997,6,7,Saturday
1997-06-08,19970608,1997,6,8,Sunday
1997-06-09,19970609,1997,6,9,Monday
1997-06-10,19970610,1997,6,10,Tuesday
1997-06-11,19970611,1997,6,11,Wednesday
1997-06-12,19970612,1997,6,12,Thursday
1997-06-13,19970613,1997,6,13,Friday
1997-06-14,19970614,1997,6,14,Saturday
1997-06-15,19970615,1997,6,15,Sunday
1997-06-16,19970616,1997,6,16,Monday
1997-06-17,19970617,1997,6,17,Tuesday
1997-06-18,19970618,1997,6,18,Wednesday
1997-06-19,19970619,1997,6,19,Thursday
1997-06-20,19970620,1997,6,20,Friday
1997-06-21,19970621,1997,6,21,Saturday
1997-06-22,19970622,1997,6,22,Sunday
1997-06-23,19970623,1997,6,23,Monday
1997-06-24,19970624,1997,6,24,Tuesday
1997-06-25,19970625,1997,6,25,Wednesday
1997-06-26,19970626,1997,6,26,Thursday
1997-06-27,19970627,1997,6,27,Friday
1997-06-28,19970628,1997,6,28,Saturday
1997-06-29,19970629,1997,6,29,Sunday
1997-06-30,19970630,1997,6,30,Monday
1997-07-01,19970701,1997,7,1,Tuesday
1997-07-02,19970702,1997,7,2,Wednesday
1997-07-03,19970703,1997,7,3,Thursday
1997-07-04,19970704,1997,7,4,Friday
1997-07-05,19970705,1997,7,5,Saturday
1997-07-06,19970706,1997,7,6,Sunday
1997-07-07,19970707,1997,7,7,Monday
1997-07-08,19970708,1997,7,8,Tuesday
1997-07-09,19970709,1997,7,9,Wednesday
1997-07-10,19970710,1997,7,10,Thursday
1997-07-11,19970711,1997,7,11,Friday
1997-07-12,19970712,1997,7,12,Saturday
1997-07-13,19970713,1997,7,13,Sunday
1997-07-14,19970714,1997,7,14,Monday
1997-07-15,19970715,1997,7,15,Tuesday
1997-07-16,19970716,1997,7,16,Wednesday
1997-07-17,19970717,1997,7,17,Thursday
1997-07-18,19970718,1997,7,18,Friday
1997-07-19,19970719,1997,7,19,Saturday
1997-07-20,19970720,1997,7,20,Sunday
1997-07-21,19970721,1997,7,21,Monday
1997-07-22,19970722,1997,7,22,Tuesday
1997-07-23,19970723,1997,7,23,Wednesday
1997-07-24,19970724,1997,7,24,Thursday
1997-07-25,19970725,1997,7,25,Friday
1997-07-26,19970726,1997,7,26,Saturday
1997-07-27,19970727,1997,7,27,Sunday
1997-07-28,19970728,1997,7,28,Monday
1997-07-29,19970729,1997,7,29,Tuesday
1997-07-30,19970730,1997,7,30,Wednesday
1997-07-31,19970731,1997,7,31,Thursday
1997-08-01,19970801,1997,8,1,Friday
1997-08-02,19970802,1997,8,2,Saturday
1997-08-03,19970803,1997,8,3,Sunday
1997-08-04,19970804,1997,8,4,Monday
1997-08-05,19970805,1997,8,5,Tuesday
1997-08-06,19970806,1997,8,6,Wednesday
1997-08-07,19970807,1997,8,7,Thursday
1997-08-08,19970808,1997,8,8,Friday
1997-08-09,19970809,1997,8,9,Saturday
1997-08-10,19970810,1997,8,10,Sunday
1997-08-11,19970811,1997,8,11,Monday
1997-08-12,19970812,1997,8,12,Tuesday
1997-08-13,19970813,1997,8,13,Wednesday
1997-08-14,19970814,1997,8,14,Thursday
1997-08-15,19970815,1997,8,15,Friday
1997-08-16,19970816,1997,8,16,Saturday
1997-08-17,19970817,1997,8,17,Sunday
1997-08-18,19970818,1997,8,18,Monday
1997-08-19,19970819,1997,8,19,Tuesday
1997-08-20,19970820,1997,8,20,Wednesday
1997-08-21,19970821,1997,8,21,Thursday
1997-08-22,19970822,1997,8,22,Friday
1997-08-23,19970823,1997,8,23,Saturday
1997-08-24,19970824,1997,8,24,Sunday
1997-08-25,19970825,1997,8,25,Monday
1997-08-26,19970826,1997,8,26,Tuesday
1997-08-27,19970827,1997,8,27,Wednesday
1997-08-28,19970828,1997,8,28,Thursday
1997-08-29,19970829,1997,8,29,Friday
1997-08-30,19970830,1997,8,30,Saturday
1997-08-31,19970831,1997,8,31,Sunday
1997-09-01,19970901,1997,9,1,Monday
1997-09-02,19970902,1997,9,2,Tuesday
1997-09-03,19970903,1997,9,3,Wednesday
1997-09-04,19970904,1997,9,4,Thursday
1997-09-05,19970905,1997,9,5,Friday
1997-09-06,19970906,1997,9,6,Saturday
1997-09-07,19970907,1997,9,7,Sunday
1997-09-08,19970908,1997,9,8,Monday
1997-09-09,19970909,1997,9,9,Tuesday
1997-09-10,19970910,1997,9,10,Wednesday
1997-09-11,19970911,1997,9,11,Thursday
1997-09-12,19970912,1997,9,12,Friday
1997-09-13,19970913,1997,9,13,Saturday
1997-09-14,19970914,1997,9,14,Sunday
1997-09-15,19970915,1997,9,15,Monday
1997-09-16,19970916,1997,9,16,Tuesday
1997-09-17,19970917,1997,9,17,Wednesday
1997-09-18,19970918,1997,9,18,Thursday
1997-09-19,19970919,1997,9,19,Friday
1997-09-20,19970920,1997,9,20,Saturday
1997-09-21,19970921,1997,9,21,Sunday
1997-09-22,19970922,1997,9,22,Monday
1997-09-23,19970923,1997,9,23,Tuesday
1997-09-24,19970924,1997,9,24,Wednesday
1997-09-25,19970925,1997,9,25,Thursday
1997-09-26,19970926,1997,9,26,Friday
1997-09-27,19970927,1997,9,27,Saturday
1997-09-28,19970928,1997,9,28,Sunday
1997-09-29,19970929,1997,9,29,Monday
1997-09-30,19970930,1997,9,30,Tuesday
1997-10-01,19971001,1997,10,1,Wednesday
1997-10-02,19971002,1997,10,2,Thursday
1997-10-03,19971003,1997,10,3,Friday
1997-10-04,19971004,1997,10,4,Saturday
1997-10-05,19971005,1997,10,5,Sunday
1997-10-06,19971006,1997,10,6,Monday
1997-10-07,19971007,1997,10,7,Tuesday
1997-10-08,19971008,1997,10,8,Wednesday
1997-10-09,19971009,1997,10,9,Thursday
1997-10-10,19971010,1997,10,10,Friday
1997-10-11,19971011,1997,10,11,Saturday
1997-10-12,19971012,1997,10,12,Sunday
1997-10-13,19971013,1997,10,13,Monday
1997-10-14,19971014,1997,10,14,Tuesday
1997-10-15,19971015,1997,10,15,Wednesday
1997-10-16,19971016,1997,10,16,Thursday
1997-10-17,19971017,1997,10,17,Friday
1997-10-18,19971018,1997,10,18,Saturday
1997-10-19,19971019,1997,10,19,Sunday
1997-10-20,19971020,1997,10,20,Monday
1997-10-21,19971021,1997,10,21,Tuesday
1997-10-22,19971022,1997,10,22,Wednesday
1997-10-23,19971023,1997,10,23,Thursday
1997-10-24,19971024,1997,10,24,Friday
1997-10-25,19971025,1997,10,25,Saturday
1997-10-26,19971026,1997,10,26,Sunday
1997-10-27,19971027,1997,10,27,Monday
1997-10-28,19971028,1997,10,28,Tuesday
1997-10-29,19971029,1997,10,29,Wednesday
1997-10-30,19971030,1997,10,30,Thursday
1997-10-31,19971031,1997,10,31,Friday
1997-11-01,19971101,1997,11,1,Saturday
1997-11-02,19971102,1997,11,2,Sunday
1997-11-03,19971103,1997,11,3,Monday
1997-11-04,19971104,1997,11,4,Tuesday
1997-11-05,19971105,1997,11,5,Wednesday
1997-11-06,19971106,1997,11,6,Thursday
1997-11-07,19971107,1997,11,7,Friday
1997-11-08,19971108,1997,11,8,Saturday
1997-11-09,19971109,1997,11,9,Sunday
1997-11-10,19971110,1997,11,10,Monday
1997-11-11,19971111,1997,11,11,Tuesday
1997-11-12,19971112,1997,11,12,Wednesday
1997-11-13,19971113,1997,11,13,Thursday
1997-11-14,19971114,1997,11,14,Friday
1997-11-15,19971115,1997,11,15,Saturday
1997-11-16,19971116,1997,11,16,Sunday
1997-11-17,19971117,1997,11,17,Monday
1997-11-18,19971118,1997,11,18,Tuesday
1997-11-19,19971119,1997,11,19,Wednesday
1997-11-20,19971120,1997,11,20,Thursday
1997-11-21,19971121,1997,11,21,Friday
1997-11-22,19971122,1997,11,22,Saturday
1997-11-23,19971123,1997,11,23,Sunday
1997-11-24,19971124,1997,11,24,Monday
1997-11-25,19971125,1997,11,25,Tuesday
1997-11-26,19971126,1997,11,26,Wednesday
1997-11-27,19971127,1997,11,27,Thursday
1997-11-28,19971128,1997,11,28,Friday
1997-11-29,19971129,1997,11,29,Saturday
1997-11-30,19971130,1997,11,30,Sunday
1997-12-01,19971201,1997,12,1,Monday
1997-12-02,19971202,1997,12,2,Tuesday
1997-12-03,19971203,1997,12,3,Wednesday
1997-12-04,19971204,1997,12,4,Thursday
1997-12-05,19971205,1997,12,5,Friday
1997-12-06,19971206,1997,12,6,Saturday
1997-12-07,19971207,1997,12,7,Sunday
1997-12-08,19971208,1997,12,8,Monday
1997-12-09,19971209,1997,12,9,Tuesday
1997-12-10,19971210,1997,12,10,Wednesday
1997-12-11,19971211,1997,12,11,Thursday
1997-12-12,19971212,1997,12,12,Friday
1997-12-13,19971213,1997,12,13,Saturday
1997-12-14,19971214,1997,12,14,Sunday
1997-12-15,19971215,1997,12,15,Monday
1997-12-16,19971216,1997,12,16,Tuesday
1997-12-17,19971217,1997,12,17,Wednesday
1997-12-18,19971218,1997,12,18,Thursday
1997-12-19,19971219,1997,12,19,Friday
1997-12-20,19971220,1997,12,20,Saturday
1997-12-21,19971221,1997,12,21,Sunday
1997-12-22,19971222,1997,12,22,Monday
1997-12-23,19971223,1997,12,23,Tuesday
1997-12-24,19971224,1997,12,24,Wednesday
1997-12-25,19971225,1997,12,25,Thursday
1997-12-26,19971226,1997,12,26,Friday
1997-12-27,19971227,1997,12,27,Saturday
1997-12-28,19971228,1997,12,28,Sunday
1997-12-29,19971229,1997,12,29,Monday
1997-12-30,19971230,1997,12,30,Tuesday
1997-12-31,19971231,1997,12,31,Wednesday
1998-01-01,19980101,1998,1,1,Thursday
1998-01-02,19980102,1998,1,2,Friday
1998-01-03,19980103,1998,1,3,Saturday
1998-01-04,19980104,1998,1,4,Sunday
1998-01-05,19980105,1998,1,5,Monday
1998-01-06,19980106,1998,1,6,Tuesday
1998-01-07,19980107,1998,1,7,Wednesday
1998-01-08,19980108,1998,1,8,Thursday
1998-01-09,19980109,1998,1,9,Friday
1998-01-10,19980110,1998,1,10,Saturday
1998-01-11,19980111,1998,1,11,Sunday
1998-01-12,19980112,1998,1,12,Monday
1998-01-13,19980113,1998,1,13,Tuesday
1998-01-14,19980114,1998,1,14,Wednesday
1998-01-15,19980115,1998,1,15,Thursday
1998-01-16,19980116,1998,1,16,Friday
1998-01-17,19980117,1998,1,17,Saturday
1998-01-18,19980118,1998,1,18,Sunday
1998-01-19,19980119,1998,1,19,Monday
1998-01-20,19980120,1998,1,20,Tuesday
1998-01-21,19980121,1998,1,21,Wednesday
1998-01-22,19980122,1998,1,22,Thursday
1998-01-23,19980123,1998,1,23,Friday
1998-01-24,19980124,1998,1,24,Saturday
1998-01-25,19980125,1998,1,25,Sunday
1998-01-26,19980126,1998,1,26,Monday
1998-01-27,19980127,1998,1,27,Tuesday
1998-01-28,19980128,1998,1,28,Wednesday
1998-01-29,19980129,1998,1,29,Thursday
1998-01-30,19980130,1998,1,30,Friday
1998-01-31,19980131,1998,1,31,Saturday
1998-02-01,19980201,1998,2,1,Sunday
1998-02-02,19980202,1998,2,2,Monday
1998-02-03,19980203,1998,2,3,Tuesday
1998-02-04,19980204,1998,2,4,Wednesday
1998-02-05,19980205,1998,2,5,Thursday
1998-02-06,19980206,1998,2,6,Friday
1998-02-07,19980207,1998,2,7,Saturday
1998-02-08,19980208,1998,2,8,Sunday
1998-02-09,19980209,1998,2,9,Monday
1998-02-10,19980210,1998,2,10,Tuesday
1998-02-11,19980211,1998,2,11,Wednesday
1998-02-12,19980212,1998,2,12,Thursday
1998-02-13,19980213,1998,2,13,Friday
1998-02-14,19980214,1998,2,14,Saturday
1998-02-15,19980215,1998,2,15,Sunday
1998-02-16,19980216,1998,2,16,Monday
1998-02-17,19980217,1998,2,17,Tuesday
1998-02-18,19980218,1998,2,18,Wednesday
1998-02-19,19980219,1998,2,19,Thursday
1998-02-20,19980220,1998,2,20,Friday
1998-02-21,19980221,1998,2,21,Saturday
1998-02-22,19980222,1998,2,22,Sunday
1998-02-23,19980223,1998,2,23,Monday
1998-02-24,19980224,1998,2,24,Tuesday
1998-02-25,19980225,1998,2,25,Wednesday
1998-02-26,19980226,1998,2,26,Thursday
1998-02-27,19980227,1998,2,27,Friday
1998-02-28,19980228,1998,2,28,Saturday
1998-03-01,19980301,1998,3,1,Sunday
1998-03-02,19980302,1998,3,2,Monday
